date;time;log_level;class;thread;message
2019-12-24;16:03:33,295;INFO;com.example.demo.controllers.UserController;[http-nio-8080-exec-5];User has been created with user name : Mattia
2019-12-24;16:13:21,927;DEBUG;org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter;[http-nio-8080-exec-8];Request is to process authentication
2019-12-24;16:13:22,042;INFO;org.hibernate.hql.internal.QueryTranslatorFactoryInitiator;[http-nio-8080-exec-8];HHH000397: Using ASTQueryTranslatorFactory
2019-12-24;16:22:07,806;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-1];Adding item to cart for user Mattia.
2019-12-24;16:22:07,808;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-1];Checking if item with id 1 exists.
2019-12-24;16:22:07,857;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-1];Cart successfully updated with 1 item(s) with id 1.
2019-12-24;16:22:51,723;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-3];Adding item to cart for user Mattia.
2019-12-24;16:22:51,725;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-3];Checking if item with id 3 exists.
2019-12-24;16:22:51,735;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-3];Cart successfully updated with 3 item(s) with id 3.
2019-12-24;16:25:50,698;DEBUG;org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter;[http-nio-8080-exec-2];Request is to process authentication
2019-12-24;16:26:24,764;INFO;com.example.demo.controllers.OrderController;[http-nio-8080-exec-1];Order saved in the H2 database for user Mattia
2019-12-24;16:29:17,943;DEBUG;org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter;[http-nio-8080-exec-6];Request is to process authentication
2019-12-24;16:29:52,831;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-9];Adding item to cart for user Mattia.
2019-12-24;16:29:52,833;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-9];Checking if item with id 3 exists.
2019-12-24;16:29:52,844;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-9];Cart successfully updated with 2 item(s) with id 3.
2019-12-24;16:30:29,940;WARN;org.springframework.web.servlet.handler.AbstractHandlerExceptionResolver;[http-nio-8080-exec-2];Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public org.springframework.http.ResponseEntity<com.example.demo.model.persistence.Cart> com.example.demo.controllers.CartController.removeFromcart(com.example.demo.model.requests.ModifyCartRequest)]
2019-12-24;16:31:23,312;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-3];Removing item from cart for user Mattia.
2019-12-24;16:31:23,322;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-3];Successfully removed from the cart 1 item(s) with id 3.
2019-12-24;16:31:43,459;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-4];Removing item from cart for user Mattia.
2019-12-24;16:31:43,470;INFO;com.example.demo.controllers.CartController;[http-nio-8080-exec-4];Successfully removed from the cart 2 item(s) with id 3.
2019-12-24;16:32:22,216;INFO;com.example.demo.controllers.OrderController;[http-nio-8080-exec-5];Order saved in the H2 database for user Mattia
